state,geoid,county,gop_votes,dem_votes
Alabama,01001,Autauga County,20484,7439
Alabama,01003,Baldwin County,95798,24934
Alabama,01005,Barbour County,5606,4158
Alabama,01007,Bibb County,7572,1619
Alabama,01009,Blount County,25354,2576
Alabama,01011,Bullock County,1101,2983
Alabama,01013,Butler County,5172,3251
Alabama,01015,Calhoun County,34912,13194
Alabama,01017,Chambers County,8711,5405
Alabama,01019,Cherokee County,11358,1553
Alabama,01021,Chilton County,16920,2698
Alabama,01023,Choctaw County,4103,2515
Alabama,01025,Clarke County,6965,4927
Alabama,01027,Clay County,5734,993
Alabama,01029,Cleburne County,6988,605
Alabama,01031,Coffee County,17495,4601
Alabama,01033,Colbert County,19714,7137
Alabama,01035,Conecuh County,3423,2580
Alabama,01037,Coosa County,3758,1478
Alabama,01039,Covington County,14677,2314
Alabama,01041,Crenshaw County,5000,1457
Alabama,01043,Cullman County,38704,4039
Alabama,01045,Dale County,14476,4484
Alabama,01047,Dallas County,5190,10236
Alabama,01049,DeKalb County,25633,3758
Alabama,01051,Elmore County,31374,9774
Alabama,01053,Escambia County,10884,3964
Alabama,01055,Etowah County,35653,10027
Alabama,01057,Fayette County,7158,1142
Alabama,01059,Franklin County,10417,1568
Alabama,01061,Geneva County,10929,1391
Alabama,01063,Greene County,885,3133
Alabama,01065,Hale County,3369,3868
Alabama,01067,Henry County,6989,2263
Alabama,01069,Houston County,32469,11352
Alabama,01071,Jackson County,20073,3276
Alabama,01073,Jefferson County,131123,162112
Alabama,01075,Lamar County,6033,806
Alabama,01077,Lauderdale County,32708,10326
Alabama,01079,Lawrence County,13024,2983
Alabama,01081,Lee County,46020,25798
Alabama,01083,Limestone County,37887,14581
Alabama,01085,Lowndes County,1758,3867
Alabama,01087,Macon County,1682,6084
Alabama,01089,Madison County,105430,87824
Alabama,01091,Marengo County,4995,4631
Alabama,01093,Marion County,12245,1197
Alabama,01095,Marshall County,34434,5553
Alabama,01097,Mobile County,100759,72055
Alabama,01099,Monroe County,6007,3740
Alabama,01101,Montgomery County,30477,57946
Alabama,01103,Morgan County,40449,12392
Alabama,01105,Perry County,1269,3174
Alabama,01107,Pickens County,5465,3388
Alabama,01109,Pike County,8224,4899
Alabama,01111,Randolph County,9102,1920
Alabama,01113,Russell County,10078,10422
Alabama,01115,St. Clair County,35501,7640
Alabama,01117,Shelby County,79666,33087
Alabama,01119,Sumter County,1542,3725
Alabama,01121,Talladega County,22100,10898
Alabama,01123,Tallapoosa County,14884,4975
Alabama,01125,Tuscaloosa County,50724,33399
Alabama,01127,Walker County,25464,4102
Alabama,01129,Washington County,6534,1863
Alabama,01131,Wilcox County,1793,3449
Alabama,01133,Winston County,10191,884
Alaska,02001,State House District 1,4861,3367
