State,Code,Deaths,Population,Crude_Rate
"Alabama","01",62294,5074296,1227.6
"Alaska","02",5719,733583,779.6
"Arizona","04",74082,7359197,1006.7
"Arkansas","05",37855,3045637,1242.9
"California","06",313161,39029342,802.4
"Colorado","08",46787,5839926,801.2
"Connecticut","09",34583,3626205,953.7
"Delaware","10",11351,1018396,1114.6
"District of Columbia","11",5385,671803,801.6
"Florida","12",239119,22244823,1074.9
"Georgia","13",102342,10912876,937.8
"Hawaii","15",13228,1440196,918.5
"Idaho","16",17162,1939033,885.1
"Illinois","17",122963,12582032,977.3
"Indiana","18",75368,6833037,1103.0
"Iowa","19",33973,3200517,1061.5
"Kansas","20",31551,2937150,1074.2
"Kentucky","21",57053,4512310,1264.4
"Louisiana","22",52339,4590241,1140.2
"Maine","23",17364,1385340,1253.4
"Maryland","24",56456,6164660,915.8
"Massachusetts","25",63366,6981974,907.6
"Michigan","26",110499,10034113,1101.2
"Minnesota","27",51222,5717184,895.9
"Mississippi","28",37803,2940057,1285.8
"Missouri","29",71851,6177957,1163.0
"Montana","30",11684,1122867,1040.6
"Nebraska","31",18615,1967923,945.9
"Nevada","32",30960,3177772,974.3
"New Hampshire","33",14515,1395231,1040.3
"New Jersey","34",81490,9261699,879.9
"New Mexico","35",23655,2113344,1119.3
"New York","36",173944,19677151,884.0
"North Carolina","37",112923,10698973,1055.5
"North Dakota","38",7041,779261,903.5
"Ohio","39",138209,11756058,1175.6
"Oklahoma","40",47976,4019800,1193.5
"Oregon","41",44598,4240137,1051.8
"Pennsylvania","42",147181,12972008,1134.6
"Rhode Island","44",10704,1093734,978.7
"South Carolina","45",61052,5282634,1155.7
"South Dakota","46",9016,909824,991.0
"Tennessee","47",84989,7051339,1205.3
"Texas","48",241441,30029572,804.0
"Utah","49",21886,3380800,647.4
"Vermont","50",6971,647064,1077.3
"Virginia","51",82935,8683619,955.1
"Washington","53",69194,7785786,888.7
"West Virginia","54",27507,1775156,1549.6
"Wisconsin","55",60590,5892539,1028.2
"Wyoming","56",5905,581381,1015.7
