State,Gender
TEXAS,Male
,Female
,Male
FLORIDA,Female
,Female
UTAH,Male
TENNESSEE,Male
MASSACHUSETTS,Male
ALABAMA,Male
,Male
CALIFORNIA,Male
,Male
CALIFORNIA,Male
CALIFORNIA,Male
SOUTH CAROLINA,Male
,Male
FLORIDA,Male
UTAH,Male
FLORIDA,Female
MASSACHUSETTS,Male
NEW YORK,Male
NEW YORK,Female
TEXAS,Male
,Male
KANSAS,Male
,Male
ILLINOIS,Male
MASSACHUSETTS,Male
,Male
,Male
,Male
CALIFORNIA,Male
CALIFORNIA,Male
ILLINOIS,Male
MISSOURI,Male
NEW JERSEY,Male
TEXAS,Male
FLORIDA,Female
TEXAS,Male
TEXAS,Male
GEORGIA,Male
NEW JERSEY,Male
MICHIGAN,Male
CALIFORNIA,Male
CALIFORNIA,Male
TENNESSEE,Male
TEXAS,Male
ARIZONA,Male
,Male
MISSISSIPPI,Male
MISSISSIPPI,Male
,Male
MASSACHUSETTS,Male
WEST VIRGINIA,Male
,Male
NORTH DAKOTA,Male
,Male
WISCONSIN,Male
NEBRASKA,Male
NEBRASKA,Male
MISSISSIPPI,Male
,Male
FLORIDA,Male
,Male
CALIFORNIA,Male
WASHINGTON,Male
TEXAS,Male
INDIANA,Male
,Male
MICHIGAN,Male
,Male
,Male
,Female
,Female
TEXAS,Male
PENNSYLVANIA,Male
MASSACHUSETTS,Male
TEXAS,Male
TEXAS,Male
INDIANA,Male
,Male
IDAHO,Male
IOWA,Female
,Male
NEW YORK,Male
,Male
TEXAS,Male
COLORADO,Male
,Male
ARKANSAS,Male
,Male
OHIO,Male
,Male
LOUISIANA,Male
LOUISIANA,Male
CALIFORNIA,Male
PENNSYLVANIA,Female
INDIANA,Male
TENNESSEE,Male
TEXAS,Male
,Male
MISSOURI,Female
PENNSYLVANIA,Male
TEXAS,Male
TEXAS,Male
,Male
FLORIDA,Male
NEW JERSEY,Male
MASSACHUSETTS,Male
ILLINOIS,Male
KANSAS,Male
,Female
,Male
NEW YORK,Male
TEXAS,Male
MISSOURI,Male
TEXAS,Male
,Male
FLORIDA,Male
CALIFORNIA,Male
TENNESSEE,Male
UTAH,Male
,Male
PENNSYLVANIA,Male
MISSOURI,Female
PENNSYLVANIA,Male
,Male
TEXAS,Male
TEXAS,Male
KENTUCKY,Female
LOUISIANA,Male
MASSACHUSETTS,Male
PENNSYLVANIA,Male
OKLAHOMA,Female
NORTH CAROLINA,Male
FLORIDA,Male
PENNSYLVANIA,Male
MARYLAND,Female
ALABAMA,Male
CALIFORNIA,Male
TEXAS,Male
CALIFORNIA,Male
,Male
TEXAS,Male
,Male
,Male
ALABAMA,Male
ALABAMA,Male
NORTH CAROLINA,Male
SOUTH CAROLINA,Male
TEXAS,Male
GEORGIA,Male
TEXAS,Male
ARKANSAS,Male
COLORADO,Male
NEW YORK,Male
,Male
WASHINGTON,Male
,Male
TEXAS,Male
COLORADO,Male
TENNESSEE,Male
,Male
NEW YORK,Male
,Female
LOUISIANA,Male
,Male
TEXAS,Male
CALIFORNIA,Male
CALIFORNIA,Male
NEW YORK,Male
UTAH,Male
NEW JERSEY,Male
FLORIDA,Male
FLORIDA,Female
FLORIDA,Female
MASSACHUSETTS,Male
VIRGINIA,Female
CALIFORNIA,Male
OREGON,Male
RHODE ISLAND,Male
NORTH CAROLINA,Male
FLORIDA,Male
DELAWARE,Male
TEXAS,Male
,Male
,Female
NEW YORK,Male
MINNESOTA,Male
TENNESSEE,Male
TEXAS,Male
NORTH CAROLINA,Male
WASHINGTON,Male
,Male
KENTUCKY,Female
KENTUCKY,Male
NEW YORK,Male
NEW YORK,Male
,Male
TEXAS,Male
,Male
TEXAS,Male
,Female
WASHINGTON,Male
COLORADO,Male
FLORIDA,Male
FLORIDA,Male
LOUISIANA,Male
MARYLAND,Male
VIRGINIA,Male
TEXAS,Male
ALABAMA,Female
TEXAS,Male
TEXAS,Male
MISSISSIPPI,Male
TEXAS,Male
NORTH CAROLINA,Male
FLORIDA,Male
,Male
,Male
TENNESSEE,Male
ARKANSAS,Male
TEXAS,Male
TEXAS,Male
CALIFORNIA,Male
,Male
CALIFORNIA,Male
MASSACHUSETTS,Male
TEXAS,Male
TEXAS,Male
,Female
TEXAS,Female
,Male
NORTH CAROLINA,Male
,Male
SOUTH CAROLINA,Male
GEORGIA,Male
ALABAMA,Male
,Male
TEXAS,Male
GEORGIA,Male
CALIFORNIA,Male
,Male
FLORIDA,Male
TEXAS,Male
TEXAS,Male
OHIO,Male
TEXAS,Male
GEORGIA,Male
TEXAS,Female
CALIFORNIA,Male
,Male
,Female
TEXAS,Male
CALIFORNIA,Male
TEXAS,Male
MISSISSIPPI,Male
GEORGIA,Female
TENNESSEE,Male
ARIZONA,Male
CALIFORNIA,Male
GEORGIA,Male
FLORIDA,Male
GEORGIA,Male
,Male
FLORIDA,Male
,Male
TENNESSEE,Male
TEXAS,Male
NEBRASKA,Male
FLORIDA,Male
TEXAS,Male
CALIFORNIA,Male
ARIZONA,Male
TEXAS,Male
FLORIDA,Male
FLORIDA,Male
LOUISIANA,Male
VIRGINIA,Female
,Male
FLORIDA,Female
,Male
ARKANSAS,Male
NEW YORK,Male
TEXAS,Male
,Male
TEXAS,Male
,Male
,Male
NORTH CAROLINA,Male
VIRGINIA,Male
NEBRASKA,Male
TEXAS,Male
,Male
,Male
FLORIDA,Male
OHIO,Female
,Male
,Male
,Female
NORTH CAROLINA,Male
WASHINGTON,Male
,Male
WISCONSIN,Male
TEXAS,Male
,Male
,Male
KENTUCKY,Male
KANSAS,Male
CONNECTICUT,Male
OKLAHOMA,Male
TEXAS,Male
GEORGIA,Male
CALIFORNIA,Male
TEXAS,Male
ARIZONA,Male
TEXAS,Male
CALIFORNIA,Female
TEXAS,Male
MISSOURI,Male
TEXAS,Male
TEXAS,Male
TEXAS,Male
TEXAS,Male
PUERTO RICO,Male
NEW JERSEY,Male
ALABAMA,Male
ARKANSAS,Male
,Male
ARIZONA,Male
WASHINGTON,Female
,Male
TEXAS,Male
TEXAS,Male
OKLAHOMA,Male
,Male
GEORGIA,Male
FLORIDA,Male
MICHIGAN,Male
GEORGIA,Male
