trip,game,date,team,geometry
1,10,2025-04-06,SFG,"[-122.379, 37.6213]"
2,19,2025-04-17,CIN,"[-84.6678, 39.0489]"
2,22,2025-04-20,TOR,"[-79.6248, 43.6777]"
2,25,2025-04-24,BOS,"[-71.0183, 42.3654]"
3,33,2025-05-04,TEX,"[-97.0404, 32.8975]"
3,36,2025-05-07,ATH,"[-121.5908, 38.6956]"
4,45,2025-05-18,SDP,"[-117.1961, 32.7323]"
4,48,2025-05-21,CHW,"[-87.9047, 41.9786]"
4,52,2025-05-25,HOU,"[-95.3418, 29.9931]"
5,64,2025-06-08,LAA,"[-118.41, 33.9428]"
5,67,2025-06-11,ARI,"[-112.074, 33.4484]"
6,76,2025-06-22,CHC,"[-87.9047, 41.9786]"
6,80,2025-06-26,MIN,"[-93.2223, 44.8848]"
6,83,2025-06-29,TEX,"[-97.0404, 32.8975]"
7,93,2025-07-10,NYY,"[-73.7828, 40.6463]"
7,96,2025-07-13,DET,"[-83.3533, 42.2125]"
8,106,2025-07-27,LAA,"[-118.41, 33.9428]"
8,109,2025-07-30,ATH,"[-121.5908, 38.6956]"
9,122,2025-08-14,BAL,"[-76.6683, 39.1791]"
9,125,2025-08-17,NYM,"[-73.87, 40.7721]"
9,128,2025-08-20,PHI,"[-75.2403, 39.8764]"
10,137,2025-08-31,CLE,"[-81.6937, 41.4997]"
10,140,2025-09-03,TBR,"[-82.5332, 27.9755]"
10,143,2025-09-07,ATL,"[-84.4277, 33.6407]"
11,153,2025-09-18,KCR,"[-94.7139, 39.2976]"
11,156,2025-09-21,HOU,"[-95.3418, 29.9931]"
