Gm#,Date,Column3,Tm,Column5,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,2025-03-27,boxscore,SEA,,ATH,W,4,2,,1-0,1,Tied,Thornton,Leclerc,Muñoz,2:17,N,42871,1.01,+,
2,2025-03-28,boxscore,SEA,,ATH,L,0,7,,1-1,1,Tied,Springs,Castillo,,2:39,N,25061,0.99,-,
3,2025-03-29,boxscore,SEA,,ATH,L,2,4,,1-2,5,1.0,Bido,Miller,Miller,2:54,N,35264,1.0,--,
4,2025-03-30,boxscore,SEA,,ATH,W,2,1,,2-2,4,1.0,Woo,Sears,Muñoz,2:03,D,27696,0.93,+,
5,2025-03-31,boxscore,SEA,,DET,L,6,9,,2-3,4,1.5,Holton,Hancock,Hurter,2:58,N,15306,0.93,-,
6,2025-04-01,boxscore,SEA,,DET,L,1,4,,2-4,4,2.5,Mize,Gilbert,Kahnle,2:24,N,17333,0.9,--,
7,2025-04-02,boxscore,SEA,,DET,W,3,2,,3-4,3,2.0,Castillo,Skubal,Muñoz,2:12,D,15560,0.85,+,
8,2025-04-04,boxscore,SEA,@,SFG,L-wo,9,10,11,3-5,4,3.0,Bivens,Vargas,,4:03,D,40865,0.83,-,
9,2025-04-05,boxscore,SEA,@,SFG,L,1,4,,3-6,5,4.0,Ray,Miller,Walker,2:27,N,40886,0.81,--,
10,2025-04-06,boxscore,SEA,@,SFG,L-wo,4,5,,3-7,5,5.0,Doval,Santos,,2:43,D,41060,0.75,---,
11,2025-04-07,boxscore,SEA,,HOU,W,4,3,,4-7,4,4.0,Santos,Scott,Muñoz,2:28,N,19383,0.8,+,
12,2025-04-08,boxscore,SEA,,HOU,L,1,2,12,4-8,5,4.0,Gusto,Hahn,Okert,3:34,N,22409,0.83,-,
13,2025-04-09,boxscore,SEA,,HOU,W-wo,7,6,,5-8,4,4.0,Lawrence,Abreu,,3:13,D,20556,0.8,+,
14,2025-04-11,boxscore,SEA,,TEX,W,5,3,,6-8,4,3.0,Vargas,Martin,Muñoz,2:33,N,28366,0.87,++,
15,2025-04-12,boxscore,SEA,,TEX,W,9,2,,7-8,3,2.5,Woo,Rocker,,2:33,N,29943,0.92,+++,
16,2025-04-13,boxscore,SEA,,TEX,W,3,1,,8-8,3,1.5,Gilbert,Eovaldi,Muñoz,2:38,D,25100,0.97,++++,
17,2025-04-15,boxscore,SEA,@,CIN,L,4,8,,8-9,3,2.0,Barlow,Castillo,,2:53,N,17205,0.95,-,
18,2025-04-16,boxscore,SEA,@,CIN,W,5,3,,9-9,3,2.0,Miller,Martinez,Muñoz,2:48,N,11817,0.88,+,
19,2025-04-17,boxscore,SEA,@,CIN,W,11,7,10,10-9,2,2.0,Legumina,Ashcraft,,3:29,D,18032,0.93,++,
20,2025-04-18,boxscore,SEA,@,TOR,L,1,3,,10-10,3,2.0,Francis,Woo,Hoffman,2:20,N,40263,1.05,-,
21,2025-04-19,boxscore,SEA,@,TOR,W,8,4,12,11-10,2,2.0,Muñoz,Barnes,,3:51,D,36775,0.99,+,
22,2025-04-20,boxscore,SEA,@,TOR,W,8,3,,12-10,2,1.0,Castillo,Lucas,,2:56,D,25752,1.0,++,
23,2025-04-22,boxscore,SEA,@,BOS,L,3,8,,12-11,2,2.0,Bello,Miller,,3:14,N,33027,1.11,-,
24,2025-04-23,boxscore,SEA,@,BOS,W,8,5,,13-11,2,1.0,Hancock,Newcomb,Muñoz,2:54,N,31904,1.08,+,
25,2025-04-24,boxscore,SEA,@,BOS,W,4,3,,14-11,1,Tied,Woo,Crochet,Muñoz,2:54,D,35655,1.06,++,
26,2025-04-25,boxscore,SEA,,MIA,L,4,8,,14-12,2,1.0,Quantrill,Lawrence,,2:23,N,29753,1.02,-,
27,2025-04-26,boxscore,SEA,,MIA,W,14,0,,15-12,1,Tied,Castillo,Gillispie,,2:39,N,35362,1.03,+,
