stcofips,State,Name,wheat1950bu,wheat1954bu,wheat1959bu,wheat1964bu,wheat1969bu,wheat1974bu,wheat1978bu,wheat1982bu,wheat1987bu,wheat1992bu,wheat1997bu,wheat2002bu,wheat2007bu,wheat2012bu,wheat2017bu
01001,AL,Autauga,1513,0,21233,20555,29396,60916,19331,79196,30082,56396,50420,30767,85906,113862,20485
01003,AL,Baldwin,18,0,115130,469791,616802,156433,187885,488165,662760,408747,211291,247378,320941,583370,103107
01005,AL,Barbour,0,0,1720,270,330,2864,7781,62336,26295,4704,19400,25250,27872,27872,15826
01007,AL,Bibb,0,0,1470,135,1750,23,0,0,0,0,0,0,0,0,0
01009,AL,Blount,785,0,2956,80,750,1144,5584,157944,32071,4300,0,0,4300,7400,7400
01011,AL,Bullock,2875,0,650,0,11020,540,540,108431,7570,3670,0,1100,0,41747,0
01013,AL,Butler,0,0,150,0,7680,11360,52312,112858,33434,33434,0,0,33434,0,0
01015,AL,Calhoun,7992,0,3111,866,13476,4250,4250,95246,35576,28607,40306,27228,25135,34600,34600
01017,AL,Chambers,5820,0,5360,7341,3810,45069,6263,35226,2900,0,0,2900,6500,5950,5950
01019,AL,Cherokee,3350,0,26554,16507,15550,16229,4826,260843,115766,75749,40224,40976,69618,340717,65796
01021,AL,Chilton,280,0,1360,549,1250,17548,15362,50545,1190,0,21180,21180,21180,20813,20813
01023,AL,Choctaw,60,0,0,0,217,46,0,0,0,0,0,0,0,0,0
01025,AL,Clarke,60,0,3060,3100,8427,3012,3012,13480,12800,0,0,12800,12800,0,12800
01027,AL,Clay,1800,0,1694,485,100,0,0,0,0,0,0,0,0,0,0
01029,AL,Cleburne,1184,0,2355,0,0,55,0,0,0,0,0,55,0,0,0
01031,AL,Coffee,0,0,3305,4197,27219,9512,38095,133921,71454,69874,24129,25131,27955,261298,261298
01033,AL,Colbert,3485,0,165477,179499,196288,77967,33130,381859,134029,95212,4025,111998,22639,1112828,1620271
01035,AL,Conecuh,0,0,2707,3020,27343,13824,22983,124844,51631,12300,22580,22580,22580,57714,57714
01037,AL,Coosa,95,0,40,2,280,160,0,0,0,0,0,0,0,0,0
01039,AL,Covington,0,0,1030,10753,103988,16112,78849,228023,79766,26086,41502,11080,11080,20600,7988
01041,AL,Crenshaw,0,0,1193,6716,6873,6378,25036,67641,12159,19900,14356,1958,1958,5018,5018
01043,AL,Cullman,1546,0,1738,667,1235,13811,10020,172090,40240,16235,44024,42973,17630,63730,53735
01045,AL,Dale,0,0,1691,5535,1520,2694,7220,95352,46244,37320,44608,19866,42623,54933,30820
01047,AL,Dallas,20,0,7695,10670,29521,62786,38225,873130,158692,162689,110452,46330,194778,294058,294058
01049,AL,DeKalb,1554,0,4402,1410,1300,7011,5074,436130,100415,45913,31347,113032,80916,128387,21781
01051,AL,Elmore,1244,0,13209,10239,7245,14041,13291,103211,27935,18000,29254,29254,21671,67507,67507
01053,AL,Escambia,0,0,29998,161138,202789,177199,139342,445547,241829,121701,189022,61442,206488,214672,13189
01055,AL,Etowah,828,0,3845,2720,5027,3200,7220,76561,26560,8907,4980,375,4435,4435,0
01057,AL,Fayette,330,0,1085,1953,2925,5289,5289,42599,9400,0,0,9400,3536,0,3500
01059,AL,Franklin,2313,0,5726,4355,5438,9630,5570,79757,7410,17715,0,4770,0,45218,29509
