geoid,county_name,statefp,population,is_trauma_center,nearby
01001,Autauga,01,58761,false,false
01003,Baldwin,01,233420,false,true
01005,Barbour,01,24877,false,false
01007,Bibb,01,22251,false,true
01009,Blount,01,59077,false,true
01011,Bullock,01,10328,false,false
01013,Butler,01,18981,false,false
01015,Calhoun,01,116162,false,false
01017,Chambers,01,34612,false,false
01019,Cherokee,01,25069,false,false
01021,Chilton,01,45140,false,true
01023,Choctaw,01,12669,false,false
01025,Clarke,01,23058,false,false
01027,Clay,01,14209,false,false
01029,Cleburne,01,15144,false,false
01031,Coffee,01,53559,false,false
01033,Colbert,01,57270,false,false
01035,Conecuh,01,11576,false,false
01037,Coosa,01,10329,false,false
01039,Covington,01,37542,false,false
01041,Crenshaw,01,13205,false,false
01043,Cullman,01,88284,false,true
01045,Dale,01,49455,false,false
01047,Dallas,01,38326,false,false
01049,DeKalb,01,71680,false,true
01051,Elmore,01,87694,false,false
01053,Escambia,01,36755,false,false
01055,Etowah,01,103348,false,false
01057,Fayette,01,16297,false,true
01059,Franklin,01,32011,false,false
01061,Geneva,01,26647,false,false
01063,Greene,01,7706,false,false
01065,Hale,01,14742,false,false
01067,Henry,01,17282,false,false
01069,Houston,01,107040,false,false
01071,Jackson,01,52618,false,true
01073,Jefferson,01,672265,true,true
01075,Lamar,01,13885,false,false
01077,Lauderdale,01,94329,false,false
01079,Lawrence,01,33116,false,true
01081,Lee,01,175126,false,false
01083,Limestone,01,104199,false,true
01085,Lowndes,01,10153,false,false
01087,Macon,01,19198,false,false
01089,Madison,01,389781,true,true
01091,Marengo,01,19180,false,false
01093,Marion,01,29203,false,false
01095,Marshall,01,97923,false,true
01097,Mobile,01,413878,true,true
01099,Monroe,01,19816,false,false
01101,Montgomery,01,228132,false,false
01103,Morgan,01,123102,false,true
01105,Perry,01,8479,false,false
01107,Pickens,01,18925,false,false
01109,Pike,01,32997,false,false
01111,Randolph,01,22179,false,false
01113,Russell,01,58849,false,false
01115,St. Clair,01,91719,false,true
01117,Shelby,01,223916,false,true
01119,Sumter,01,12196,false,false
01121,Talladega,01,81105,false,true
01123,Tallapoosa,01,41251,false,false
01125,Tuscaloosa,01,231558,false,true
01127,Walker,01,64978,false,true
01129,Washington,01,15434,false,true
01131,Wilcox,01,10441,false,false
01133,Winston,01,23655,false,true
02013,Aleutians East,02,3407,false,false
02016,Aleutians West,02,5219,false,false
02020,Anchorage,02,290674,false,false
02050,Bethel,02,18538,false,false
02060,Bristol Bay,02,854,false,false
02063,Chugach,02,7000,false,false
02066,Copper River,02,2614,false,false
02068,Denali,02,2101,false,false
02070,Dillingham,02,4854,false,false
02090,Fairbanks North Star,02,96299,false,false
02100,Haines,02,2079,false,false
02105,Hoonah-Angoon,02,2329,false,false
02110,Juneau,02,32108,false,false
02122,Kenai Peninsula,02,59235,false,false
02130,Ketchikan Gateway,02,13910,false,false
02150,Kodiak Island,02,13065,false,false
02158,Kusilvak,02,8372,false,false
02164,Lake and Peninsula,02,999,false,false
02170,Matanuska-Susitna,02,108661,false,false
02180,Nome,02,10018,false,false
02185,North Slope,02,10924,false,false
02188,Northwest Arctic,02,7682,false,false
02195,Petersburg,02,3374,false,false
02198,Prince of Wales-Hyder,02,5799,false,false
02220,Sitka,02,8462,false,false
02230,Skagway,02,1303,false,false
02240,Southeast Fairbanks,02,6888,false,false
02275,Wrangell,02,2134,false,false
02282,Yakutat,02,564,false,false
02290,Yukon-Koyukuk,02,5355,false,false
04001,Apache,04,66054,false,false
04003,Cochise,04,125504,false,false
04005,Coconino,04,144705,true,true
04007,Gila,04,53419,false,false
04009,Graham,04,38453,false,false
04011,Greenlee,04,9483,false,false
04012,La Paz,04,16681,false,false
04013,Maricopa,04,4430871,true,true
04013,Maricopa,04,4430871,true,true
04013,Maricopa,04,4430871,true,true
04013,Maricopa,04,4430871,true,true
04013,Maricopa,04,4430871,true,true
04015,Mohave,04,214229,false,false
04017,Navajo,04,107110,false,false
04019,Pima,04,1042393,true,true
04021,Pinal,04,433338,false,false
04023,Santa Cruz,04,47838,false,false
04025,Yavapai,04,237830,false,false
04027,Yuma,04,204374,false,false
05001,Arkansas,05,17024,false,false
05003,Ashley,05,19018,false,false
05005,Baxter,05,41801,false,false
05007,Benton,05,286528,false,false
05009,Boone,05,37662,false,false
05011,Bradley,05,10461,false,false
05013,Calhoun,05,4773,false,false
05015,Carroll,05,28362,false,false
05017,Chicot,05,10234,false,false
05019,Clark,05,21469,false,false
05021,Clay,05,14537,false,false
05023,Cleburne,05,24948,false,false
05025,Cleveland,05,7548,false,false
05027,Columbia,05,22707,false,false
05029,Conway,05,20782,false,true
05031,Craighead,05,111038,false,false
05033,Crawford,05,60593,false,false
05035,Crittenden,05,47945,false,true
05037,Cross,05,16827,false,false
05039,Dallas,05,6472,false,false
05041,Desha,05,11285,false,false
05043,Drew,05,17309,false,false
05045,Faulkner,05,124611,false,true
05047,Franklin,05,17160,false,false
05049,Fulton,05,12183,false,false
05051,Garland,05,100021,false,true
05053,Grant,05,18022,false,true
05055,Greene,05,45954,false,false
05057,Hempstead,05,20037,false,false
05059,Hot Spring,05,33129,false,true
05061,Howard,05,12779,false,false
05063,Independence,05,37910,false,false
05065,Izard,05,13748,false,false
05067,Jackson,05,16784,false,false
05069,Jefferson,05,66934,false,true
05071,Johnson,05,25925,false,false
05073,Lafayette,05,6277,false,false
05075,Lawrence,05,16258,false,false
05077,Lee,05,8666,false,false
05079,Lincoln,05,13016,false,false
05081,Little River,05,12024,false,false
05083,Logan,05,21247,false,false
05085,Lonoke,05,74292,false,true
05087,Madison,05,16737,false,false
05089,Marion,05,16905,false,false
